[-0.045, 0.213, 0.643]
[0.196, 0.556, 1.573]
[0.227, 0.53, 1.504]
[0.232, 0.535, 1.519]
[0.228, 0.526, 1.493]
[0.228, 0.523, 1.493]
[0.232, 0.525, 1.504]
[0.238, 0.516, 1.493]
[0.257, 0.517, 1.49]
[0.086, 0.521, 1.493]
[0.082, 0.525, 1.512]
[0.077, 0.519, 1.508]
[0.074, 0.513, 1.5]
[0.057, 0.518, 1.493]
[0.06, 0.52, 1.504]
[0.06, 0.524, 1.508]
[0.3, 0.501, 1.486]
[0.305, 0.504, 1.486]
[0.302, 0.498, 1.475]
[0.287, 0.561, 1.632]
[0.293, 0.562, 1.61]
[0.296, 0.569, 1.64]
[0.287, 0.581, 1.636]
[0.3, 0.583, 1.632]
[0.307, 0.572, 1.602]
[0.313, 0.587, 1.645]
[0.295, 0.567, 1.632]
[0.29, 0.566, 1.623]
[0.289, 0.561, 1.615]
[0.287, 0.567, 1.632]
[0.287, 0.565, 1.636]
[0.286, 0.558, 1.615]
[0.267, 0.562, 1.627]
[0.266, 0.561, 1.623]
[0.266, 0.559, 1.619]
[0.265, 0.567, 1.632]
[0.265, 0.574, 1.645]
[0.265, 0.567, 1.632]
[0.262, 0.559, 1.61]
[0.262, 0.561, 1.615]
[0.261, 0.563, 1.623]
[0.256, 0.568, 1.627]
[0.256, 0.565, 1.627]
[0.257, 0.574, 1.645]
[0.25, 0.561, 1.623]
[0.25, 0.561, 1.623]
[0.25, 0.562, 1.619]
[0.25, 0.571, 1.636]
[0.257, 0.574, 1.645]
[0.252, 0.569, 1.632]
[0.255, 0.573, 1.636]
[0.258, 0.575, 1.64]
[0.258, 0.572, 1.64]
[0.26, 0.575, 1.649]
[0.252, 0.565, 1.619]
[0.254, 0.568, 1.627]
[0.257, 0.574, 1.645]
[0.252, 0.562, 1.619]
[0.257, 0.569, 1.632]
[0.261, 0.569, 1.64]
[0.258, 0.569, 1.64]
[0.252, 0.569, 1.632]
[0.254, 0.565, 1.627]
[0.252, 0.561, 1.615]
[0.248, 0.566, 1.623]
[0.243, 0.573, 1.627]
